State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,APC,LP,PDP,NNPP,Latitude,Longitude,HDBSCAN_Cluster,color,APC_Local_Moran_I,APC_Getis_Ord_Gi,LP_Local_Moran_I,LP_Getis_Ord_Gi,PDP_Local_Moran_I,PDP_Getis_Ord_Gi,NNPP_Local_Moran_I,NNPP_Getis_Ord_Gi,Iso_Label,Iso_Score,APC_Moran_norm,APC_Gi_norm,LP_Moran_norm,LP_Gi_norm,PDP_Moran_norm,PDP_Gi_norm,NNPP_Moran_norm,NNPP_Gi_norm,APC_Composite,LP_Composite,PDP_Composite,NNPP_Composite,Global_Composite_Score,Total_Votes,APC_z_score,PDP_z_score,LP_z_score,NNPP_z_score,Accredited_Ratio
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-002,IN FRONT OF DAILY TIMES OFFICE II,139,716,True,87.0,28.0,9.0,0.0,7.3882174,3.8865718,436,orange,-0.045707149458434064,-0.1371548576767554,0.008765796488502394,0.019102947117513713,-0.1034839432021047,0.12019644115481137,0.024860251543110876,-0.1280519108919963,1,0,0.2049692310732811,0.27572071591029274,0.13369172314369593,0.1499337125131976,0.1483497857949513,0.2749517358304016,0.17104525943050516,0.017172585839771087,0.4806899469835738,0.2836254356568935,0.42330152162535295,0.18821784527027624,0.34395868738402413,124.0,4.524364038435533,-9.529282694024793,113.21980862523986,-0.2698402810228515,0.8920863309352518
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-003,OPEN SPACE AT AJENGBE,100,505,True,51.0,21.0,8.0,0.0,7.3618061,3.8785837,394,lightgreen,0.2977581748654736,-0.6620272195059337,-0.011153403477114718,-0.057969318092031014,0.6707926579250363,-0.7444920264159205,0.01842996623286878,-0.09494323825621746,1,0,0.23402440864291885,0.13376939152331613,0.13293688198649886,0.13161348344763898,0.18756299553734904,0.07150096536908612,0.17077934809217218,0.02509861337332132,0.367793800166235,0.26455036543413785,0.25906396090643513,0.1958779614654935,0.27182152199307535,80.0,2.487164755585774,-7.163611514192037,105.75036856622401,-0.2167409294340365,0.8
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-004,OPEN SPACE AT SODENDE I,92,455,True,50.0,33.0,8.0,0.0,7.3535745,3.8758701,387,red,0.132669471136914,-0.28144395845038384,0.28635622540994216,0.43787601577888013,0.36378625916671287,-0.4038609639335237,0.024860251543110876,-0.1280519108919963,1,0,0.22005886026910085,0.2366978401809579,0.1442110552933592,0.2494768947916006,0.1720146678605948,0.151647347221266,0.17104525943050516,0.017172585839771087,0.4567567004500588,0.3936879500849598,0.32366201508186077,0.18821784527027624,0.34058112772178895,91.0,0.972767491559973,-7.8708755570690485,155.8926574421374,-0.23116210153173974,0.9891304347826086
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-005,OPEN SPACE AT SODENDE II,77,545,True,37.0,18.0,12.0,0.0,7.3535745,3.8758701,387,red,0.18554443746367297,-0.24618688718452877,0.03912552991067014,0.5098938769483782,0.31149179153125284,-0.4247649099266524,0.024860251543110876,-0.1280519108919963,1,0,0.22453177624289444,0.2462330878414605,0.13484220992771037,0.2665956820732466,0.16936621648705316,0.1467289007778527,0.17104525943050516,0.017172585839771087,0.4707648640843549,0.4014378920009569,0.31609511726490586,0.18821784527027624,0.3441289296551235,67.0,0.8803369862892927,-5.2607842928969495,99.05156807523792,-0.1983505181162665,0.8701298701298701
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-006,OPEN SPACE NEAR ANFANI I,175,600,True,72.0,59.0,28.0,1.0,7.3554594,3.878295,387,red,-0.0028717538527863002,-0.4199529301125797,0.4058395847463912,0.2456893406410756,0.04324682133196799,-0.6865604330934305,-0.013721460318341677,-0.19420049057643507,1,0,0.20859285749914427,0.19923819590019115,0.1487388956374994,0.2037937440200486,0.15578095992182148,0.0851315707692305,0.1694497914005073,0.0013369928623128413,0.40783105339933545,0.352532639657548,0.24091253069105198,0.17078678426282015,0.29301575200268887,160.0,-1.226056745798195,-8.233509167225401,210.20072228614757,2.957849325362922,0.9142857142857143
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-007,OPEN SPACE NEAR ANFANI II,141,716,True,87.0,35.0,13.0,0.0,7.3554594,3.878295,387,red,-0.1534462098726492,-0.4606521911846069,0.26375054626738437,0.3608941548468605,0.4205665011849654,-0.6081597647273688,0.031290536853352965,-0.16116058352777513,1,0,0.19585513043536978,0.1882311122149088,0.14335440959309775,0.2311781550006632,0.17489030111135376,0.1035783027218023,0.17131117076883812,0.009246558306220856,0.3840862426502786,0.37453256459376094,0.2784686038331561,0.18055772907505896,0.3044112850380636,135.0,3.392296860238577,-9.39187066387178,135.674605786456,-0.28155472639458895,0.9574468085106383
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-009,OPEN SPACE NEAR ANFANI IV,147,494,True,74.0,32.0,22.0,0.0,7.3554594,3.878295,387,red,-0.021411260948032924,-0.42537876021844184,0.23098072784646606,0.37529595581730213,0.20603606662575022,-0.6551933340386894,0.031290536853352965,-0.16116058352777513,1,0,0.20702452255364057,0.1977707843437097,0.1421125922660625,0.2346014914241838,0.1640254152110799,0.09251187096885294,0.17131117076883812,0.009246558306220856,0.40479530689735027,0.3767140836902463,0.2565372861799329,0.18055772907505896,0.3046511014606471,128.0,1.8025329930931118,-7.434985184282985,127.38311354015404,-0.2741579996773539,0.8707482993197279
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-010,OPEN SPACE AT IDI ODO I,113,546,True,50.0,53.0,6.0,0.0,7.3906497,3.9025145,422,cadetblue,0.01600539261964864,-0.034060105766733156,-0.2128703989165728,-0.14913205825285994,0.05173607541006694,-0.052771527283539496,0.031290536853352965,-0.16116058352777513,1,0,0.21018975478082563,0.30360261184395076,0.12529278530959115,0.10994392076578915,0.15621089787969905,0.2342544584135123,0.17131117076883812,0.009246558306220856,0.5137923666247763,0.2352367060753803,0.39046535629321133,0.18055772907505896,0.3300130395171067,109.0,-0.8299732711408606,-9.300479886941536,228.84677066427395,-0.25299339723647846,0.9646017699115044
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-011,OPEN SPACE AT IDI ODO II,109,696,True,49.0,45.0,11.0,0.0,7.3906497,3.9025145,422,cadetblue,0.015402317867165775,-0.0313472655777827,-0.12385816707960892,-0.11068878927392325,0.06105071197459973,-0.07891693363943901,0.031290536853352965,-0.16116058352777513,1,0,0.2101387381489265,0.3043362973752858,0.12866591757396345,0.11908196143201552,0.15668263730298462,0.2281027595455072,0.17131117076883812,0.009246558306220856,0.5144750355242123,0.24774787900597897,0.38478539684849183,0.18055772907505896,0.33189151011343554,105.0,-0.6516528439631698,-8.109357955043631,197.94335155599387,-0.24830792883163863,0.963302752293578
OYO,IBADAN SOUTH WEST,WARD 9 SW8 (1),30-10-09-012,OPEN SPACE AT TAX OFFICE I,62,595,True,38.0,18.0,13.0,0.0,7.3592617,3.8782576,394,lightgreen,0.43310895838860825,-0.591444200427435,-0.0018669677883334864,-0.024310174719637208,0.5220637027274374,-0.7548868579963702,0.037720822163595055,-0.19426925616355395,1,0,0.24547430116757313,0.15285851445313992,0.1332887929002733,0.13961432804531881,0.18003062311844722,0.06905518683361014,0.1715770821071711,0.0013205307726706222,0.39833281562071304,0.2729031209455921,0.24908580995205737,0.17289761287984173,0.2733048398495511,69.0,0.8682243545488435,-5.184200893749176,97.60014393036549,-0.2012892043784008,1.1129032258064515
